0	1	0	-0.75
1	1	0.25	-0.255192081490954
2	1	0.5	0.208851077208406
3	1	0.75	0.613277520046668
4	1	1	0.932941969615793
5	1	1.25	1.14796923871117
6	1	1.5	1.24498997320811
7	1	1.75	1.21797189374787
8	1	2	1.06859485365136
9	1	2.25	0.806146393775842
10	1	2.5	0.446944288207913
11	1	2.75	0.0133219841046633
12	1	3	-0.467759983880266
13	1	3.25	-0.966390269060217
14	1	3.5	-1.45156645537924
15	1	3.75	-1.89312263748469
16	1	4	-2.26360499061586
17	1	4.25	-2.53997871645717
18	1	4.5	-2.70506023533019
19	1	4.75	-2.74858557795076
20	1	5	-2.66784854932628
0	0	0	0.75
1	0	0.25	1.24480791850905
2	0	0.5	1.70885107720841
3	0	0.75	2.11327752004667
4	0	1	2.43294196961579
5	0	1.25	2.64796923871117
6	0	1.5	2.74498997320811
7	0	1.75	2.71797189374787
8	0	2	2.56859485365136
9	0	2.25	2.30614639377584
10	0	2.5	1.94694428820791
11	0	2.75	1.51332198410466
12	0	3	1.03224001611973
13	0	3.25	0.533609730939783
14	0	3.5	0.0484335446207603
15	0	3.75	-0.393122637484687
16	0	4	-0.763604990615856
17	0	4.25	-1.03997871645717
18	0	4.5	-1.20506023533019
19	0	4.75	-1.24858557795076
20	0	5	-1.16784854932628
